x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-1,-1,2.27959,-1.50483,-2.08113,0.279594,0.511311,1
-1,-0.8,1.92203,-1.04551,-1.60967,0.282033,0.0465236,1
-1,-0.6,1.43904,-1.7216,-1.01303,0.0790438,0.745426,1
-1,-0.4,1.19289,-1.39171,-0.660407,0.0328935,0.415842,1
-1,-0.2,1.04122,-0.988057,-0.404999,0.00121547,0.0129466,2
-1,0,0.9995,-1.00359,0.00361406,0.000499748,0.00509275,2
-1,0.2,1.03888,-1.0019,0.404469,0.00111811,0.00485538,2
-1,0.4,1.15866,-0.999608,0.796537,0.00134104,0.00348523,2
-1,0.6,1.46561,-0.587869,1.9642,0.105606,0.868245,1
-1,0.8,1.7332,-1.03174,1.21958,0.0931967,0.381738,1
-1,1,2.23931,-1.07999,1.43969,0.239311,0.565988,1
-0.8,-1,2.32791,-0.124789,-1.08342,0.559907,1.47466,1
-0.8,-0.8,1.53529,-2.28525,-1.33676,0.127288,1.03914,1
-0.8,-0.6,1.13373,-1.26187,-1.20045,0.00573323,0.0181355,2
-0.8,-0.4,0.933345,-1.26325,-0.803724,0.00534528,0.0171597,2
-0.8,-0.2,0.812124,-1.26204,-0.409165,0.00412417,0.0201615,2
-0.8,0,0.770006,-1.2728,-0.00712113,0.00200578,0.0101276,2
-0.8,0.2,0.807147,-1.27942,0.398888,0.00085321,0.00125565,2
-0.8,0.4,0.926685,-1.28072,0.803135,0.0013148,0.00321648,2
-0.8,0.6,1.12582,-1.27998,1.19939,0.00218012,0.000610907,2
-0.8,0.8,1.41139,-1.28835,1.47855,0.0033949,0.12174,2
-0.8,1,2.38245,-1.31349,1.50349,0.614446,0.497636,1
-0.6,-1,1.70062,-2.64192,-1.72095,0.196621,1.35105,1
-0.6,-0.8,1.15198,-1.31171,-1.59918,0.0079782,0.00833469,2
-0.6,-0.6,0.87204,-1.31072,-1.20041,0.00804048,0.00928613,2
-0.6,-0.4,0.671785,-1.3119,-0.801954,0.00778451,0.00833159,2
-0.6,-0.2,0.551282,-1.31773,-0.401213,0.00728179,0.00257724,2
-0.6,0,0.510506,-1.31494,-0.0050216,0.00650643,0.00712889,2
-0.6,0.2,0.544928,-1.30837,0.378884,0.000928202,0.0241082,2
-0.6,0.4,0.66257,-1.32181,0.807486,0.00143009,0.00770134,2
-0.6,0.6,0.861812,-1.31995,1.19891,0.00218756,0.00109188,2
-0.6,0.8,1.14065,-1.32078,1.59163,0.0033539,0.0084106,2
-0.6,1,1.50446,-1.33858,1.89142,0.000462886,0.110156,2
-0.4,-1,1.26584,-1.11883,-1.99967,0.00983693,0.00121393,2
-0.4,-0.8,0.905989,-1.12283,-1.6005,0.00998945,0.00287257,2
-0.4,-0.6,0.625967,-1.12368,-1.20012,0.00996717,0.00367706,2
-0.4,-0.4,0.425956,-1.11881,-0.800198,0.00995642,0.00120771,2
-0.4,-0.2,0.305273,-1.10314,-0.407758,0.00927342,0.0185566,2
-0.4,0,0.264057,-1.13334,0.0136659,0.00805719,0.0190977,2
-0.4,0.2,0.301079,-1.10161,0.363497,0.00507918,0.0408738,2
-0.4,0.4,0.414334,-1.12186,0.811569,0.00166642,0.0117167,2
