x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-1,-1,inf,inf,inf,inf,inf,0
-1,-0.992188,inf,inf,inf,inf,inf,0
-1,-0.984375,inf,inf,inf,inf,inf,0
-1,-0.976562,inf,inf,inf,inf,inf,0
-1,-0.96875,inf,inf,inf,inf,inf,0
-1,-0.960938,inf,inf,inf,inf,inf,0
-1,-0.953125,inf,inf,inf,inf,inf,0
-1,-0.945312,inf,inf,inf,inf,inf,0
-1,-0.9375,inf,inf,inf,inf,inf,0
-1,-0.929688,inf,inf,inf,inf,inf,0
-1,-0.921875,inf,inf,inf,inf,inf,0
-1,-0.914062,inf,inf,inf,inf,inf,0
-1,-0.90625,inf,inf,inf,inf,inf,0
-1,-0.898438,inf,inf,inf,inf,inf,0
-1,-0.890625,inf,inf,inf,inf,inf,0
-1,-0.882812,inf,inf,inf,inf,inf,0
-1,-0.875,inf,inf,inf,inf,inf,0
-1,-0.867188,inf,inf,inf,inf,inf,0
-1,-0.859375,inf,inf,inf,inf,inf,0
-1,-0.851562,inf,inf,inf,inf,inf,0
-1,-0.84375,inf,inf,inf,inf,inf,0
-1,-0.835938,inf,inf,inf,inf,inf,0
-1,-0.828125,inf,inf,inf,inf,inf,0
-1,-0.820312,inf,inf,inf,inf,inf,0
-1,-0.8125,inf,inf,inf,inf,inf,0
-1,-0.804688,inf,inf,inf,inf,inf,0
-1,-0.796875,inf,inf,inf,inf,inf,0
-1,-0.789062,inf,inf,inf,inf,inf,0
-1,-0.78125,inf,inf,inf,inf,inf,0
-1,-0.773438,inf,inf,inf,inf,inf,0
-1,-0.765625,inf,inf,inf,inf,inf,0
-1,-0.757812,inf,inf,inf,inf,inf,0
-1,-0.75,inf,inf,inf,inf,inf,0
-1,-0.742188,inf,inf,inf,inf,inf,0
-1,-0.734375,inf,inf,inf,inf,inf,0
-1,-0.726562,inf,inf,inf,inf,inf,0
-1,-0.71875,inf,inf,inf,inf,inf,0
-1,-0.710938,inf,inf,inf,inf,inf,0
-1,-0.703125,inf,inf,inf,inf,inf,0
-1,-0.695312,inf,inf,inf,inf,inf,0
-1,-0.6875,inf,inf,inf,inf,inf,0
-1,-0.679688,inf,inf,inf,inf,inf,0
-1,-0.671875,inf,inf,inf,inf,inf,0
-1,-0.664062,inf,inf,inf,inf,inf,0
-1,-0.65625,inf,inf,inf,inf,inf,0
-1,-0.648438,inf,inf,inf,inf,inf,0
-1,-0.640625,inf,inf,inf,inf,inf,0
-1,-0.632812,inf,inf,inf,inf,inf,0
-1,-0.625,inf,inf,inf,inf,inf,0
-1,-0.617188,inf,inf,inf,inf,inf,0
-1,-0.609375,inf,inf,inf,inf,inf,0
-1,-0.601562,inf,inf,inf,inf,inf,0
-1,-0.59375,inf,inf,inf,inf,inf,0
-1,-0.585938,inf,inf,inf,inf,inf,0
-1,-0.578125,inf,inf,inf,inf,inf,0
-1,-0.570312,inf,inf,inf,inf,inf,0
-1,-0.5625,inf,inf,inf,inf,inf,0
-1,-0.554688,inf,inf,inf,inf,inf,0
-1,-0.546875,inf,inf,inf,inf,inf,0
-1,-0.539062,inf,inf,inf,inf,inf,0
-1,-0.53125,inf,inf,inf,inf,inf,0
-1,-0.523438,inf,inf,inf,inf,inf,0
-1,-0.515625,inf,inf,inf,inf,inf,0
-1,-0.507812,inf,inf,inf,inf,inf,0
-1,-0.5,inf,inf,inf,inf,inf,0
-1,-0.492188,inf,inf,inf,inf,inf,0
-1,-0.484375,inf,inf,inf,inf,inf,0
-1,-0.476562,inf,inf,inf,inf,inf,0
-1,-0.46875,inf,inf,inf,inf,inf,0
-1,-0.460938,inf,inf,inf,inf,inf,0
-1,-0.453125,inf,inf,inf,inf,inf,0
-1,-0.445312,inf,inf,inf,inf,inf,0
-1,-0.4375,inf,inf,inf,inf,inf,0
-1,-0.429688,inf,inf,inf,inf,inf,0
-1,-0.421875,inf,inf,inf,inf,inf,0
-1,-0.414062,inf,inf,inf,inf,inf,0
-1,-0.40625,inf,inf,inf,inf,inf,0
-1,-0.398438,inf,inf,inf,inf,inf,0
-1,-0.390625,inf,inf,inf,inf,inf,0
-1,-0.382812,inf,inf,inf,inf,inf,0
-1,-0.375,inf,inf,inf,inf,inf,0
-1,-0.367188,inf,inf,inf,inf,inf,0
-1,-0.359375,inf,inf,inf,inf,inf,0
-1,-0.351562,inf,inf,inf,inf,inf,0
-1,-0.34375,inf,inf,inf,inf,inf,0
-1,-0.335938,inf,inf,inf,inf,inf,0
-1,-0.328125,inf,inf,inf,inf,inf,0
-1,-0.320312,inf,inf,inf,inf,inf,0
-1,-0.3125,inf,inf,inf,inf,inf,0
